name,address,category,latitude,longitude,rating
Barranco MTL,"4552 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada","Tapas Bars, Peruvian, Cocktail Bars",45.52426823888716,-73.58393073864245,4.5
Yokato Yokabai,"4185 Rue Drolet, Montreal, QC H2W 2L5, Canada",Ramen,45.5212206164378,-73.578518757916,4.0
Fenêtre sur Kaboul,"901 Rue Rachel E, Montreal, QC H2J 2J2, Canada","Afghan, Tea Rooms",45.5244041,-73.5759533,4.5
Le Virunga,"851 Rue Rachel E, Montreal, QC H2J 2H9, Canada",African,45.52409,-73.57633,4.5
Saint Sushi Plateau,"424 Avenue Duluth E, Montreal, QC H2L 1A3, Canada","Sushi Bars, Japanese",45.521106,-73.575346,4.5
Romados,"115 Rue Rachel E, Montreal, QC H2W 1C8, Canada","Barbeque, Bakeries, Portuguese",45.519261587336665,-73.58070295798589,4.0
India Rosa,"1241 Avenue du Mont-Royal E, Montreal, QC H2J 1Y2, Canada","Indian, Cocktail Bars, Tapas Bars",45.529291,-73.578237,4.0
Le Mousso,"1023 Rue Ontario E, Montreal, QC H2L 1P8, Canada",Canadian (New),45.52006,-73.56322,4.5
Chez José Café,"173 Avenue Duluth E, Montreal, QC H2W 1H4, Canada","Breakfast & Brunch, Sandwiches, Portuguese",45.51869,-73.57799,4.5
La Fabrique,"3609 Rue St-Denis, Montreal, QC H2X 3L6, Canada",French,45.51811,-73.56943,4.0
Parc sans Gluten,"4050 Avenue du Parc la Fontaine, Montreal, QC H2L 3M8, Canada","Bakeries, Gluten-Free",45.52438,-73.57271,4.5
Bistro Tôt ou Tard,"1030 Rue Cherrier, Montreal, QC H2L 1H7, Canada","French, Breakfast & Brunch",45.52153,-73.56647,4.0
Ibéricos,"4475 Rue Saint-Denis, Montreal, QC H2J 2L2, Canada","Spanish, Tapas Bars",45.5239019496467,-73.5824299603701,4.5
Le St-Urbain,"96 Rue Fleury O, Montreal, QC H3L 1T2, Canada",French,45.54702,-73.66549,4.0
Le Petit Flore,"1145 Rue Fleury E, Montreal, QC H2C 1P9, Canada","French, Wine Bars",45.558962,-73.659049,4.0
