name,category,address,country,latitude,longitude
Pho Ngon,Vietnamese Restaurant,3205 Cremazie Blvd E,CA,45.562234,-73.607816
Cirque du Soleil - Siège Social International,Arts and Entertainment,8400 2e Ave,CA,45.56146,-73.615016
Poissonnerie Méditerranée,Deli,7735 Saint-Michel Blvd,CA,45.562449,-73.605641
Harvey's,Restaurant,3201 Cremazie Blvd E,CA,45.561773,-73.608092
Marché Aux Puces St-Michel,Antique Store,7707 Shelley Ave,CA,45.56269,-73.60497
Subway,Deli,7900 St Michel Blvd,CA,45.562292,-73.607769
Marché Kim Hour Inc,Cantonese Restaurant,7734 Saint-Michel Blvd,CA,45.561716,-73.605374
Restaurant Pho Nam Inc,Vietnamese Restaurant,3250 Cremazie Blvd E,CA,45.563075,-73.605613
Pharmaprix - Jarry,Drugstore,3325 Jarry St E,CA,45.565042,-73.60946
Nam Quan Restaurant,Vietnamese Restaurant,3562 Jarry Rue E,CA,45.566573,-73.606891
Gentile Bar,Italian Restaurant,9299 Ave du Parc,CA,45.538302,-73.654432
Winners,Department Store,815 Chabanel Rue O,CA,45.535975,-73.656971
Marshalls,Department Store,1001 Rue du Marché Central,CA,45.535493,-73.652883
Calvin Klein Outlet,Clothing Store,999 Rue Marché Céntral,CA,45.534048,-73.6533
Bulk Barn,Food and Beverage Retail,9193 Blvd de la Acadie,CA,45.533393,-73.655429
Restaurant Nostos Souvlaki,Fast Food Restaurant,9530 Blvd de l'Acadie,CA,45.534333,-73.661772
Mec,Retail,8989 Blvd de l'Acadie,CA,45.532277,-73.651757
Tzanet,Kitchen Remodeler,1375 rue de Louvain O,CA,45.533608,-73.661446
Patisseries Amal Bohsali,Bakery,1420 Sauve Rue W,CA,45.533765,-73.664747
Parc St-Benoît,Dog Park,9750 Meilleur Rue,CA,45.540481,-73.666963
Parc Ahuntsic,Park,10555 Lajeunesse Rue,CA,45.555192,-73.667417
La fromagerie Hamel,Cheese Store,975 Fleury Rue E,CA,45.557629,-73.659645
Cafe le Petit Flore Inc,Bistro,1145 Fleury Rue E,CA,45.558666,-73.659001
L'Estaminet,Restaurant,1340 Fleury Rue E,CA,45.560114,-73.657741
Pharmaprix,Drugstore,10305 St Laurent Blvd,CA,45.548933,-73.665022
Dagenais Martine,Psychologist,10353 Saint-Laurent Blvd,CA,45.548919,-73.6657
Copie Litho Pro,Print Store,9998 Lajeunesse Rue,CA,45.552116,-73.656936
Parc la Fontaine,Park,3933 rue du Parc-Lafontaine,CA,45.526246,-73.569666
Café le Loup Bleu,Café,1279 Marie-Anne Rue E,CA,45.528686,-73.575413
Boulangerie Pâtisserie Mr Pinchot,Bakery,4354 rue de Brébeuf,CA,45.52822,-73.57598
La Banquise,Diner,994 Rachel Rue E,CA,45.525348,-73.574677
Grillade Portuguaise ma Poule Mouillée,Bakery,969 Rachel Rue E,CA,45.525165,-73.575301
Le Parloir,Tea Room,4354 Christophe Colomb Ave,CA,45.526887,-73.577245
Aux 33 Tours,Music Store,1373 Ave du Mont-Royal Est,CA,45.530643,-73.576978
Point G,Ice Cream Parlor,1266 Ave du Mont-Royal Est,CA,45.529435,-73.577666
Parc à chiens du Parc la Fontaine,Dog Park,N/A,CA,45.52746,-73.565829
Le Moineau Masqué,Café,912 Marie-Anne Rue E,CA,45.525508,-73.577976
Jean-Talon Market,Farmers Market,7070 Henri Julien Ave,CA,45.536163,-73.61488
Fromagerie Hamel,Cheese Store,220 Jean-Talon Rue E,CA,45.536261,-73.616075
Le Petit Alep,Bistro,191 Jean-Talon Rue E,CA,45.536482,-73.616373
Le Marché des Saveurs du Québec,Gourmet Store,280 Pl du Marché-du-Nord,CA,45.53608,-73.61384
Milano Fruiterie,Fruit and Vegetable Store,6862 Saint-Laurent Blvd,CA,45.532826,-73.614557
Le Super Qualité,Indian Restaurant,1211 Belanger Rue,CA,45.541945,-73.60778
Marconi,Restaurant,45 Mozart Ave O,CA,45.532967,-73.615967
Cafe Italia,Café,6840 Saint-Laurent Blvd,CA,45.532772,-73.614409
Caffè San Simeon,Café,39 Dante Rue,CA,45.5333,-73.613603
Pasticceria Alati-Caserta,Bakery,277 Dante Rue,CA,45.535271,-73.611729
Brasserie Harricana,Bar,95 Jean-Talon Rue O,CA,45.533806,-73.619387
Café St-Henri HQ,Café,7335 Rue du Mile-End,CA,45.532364,-73.623119
Dépanneur le Pick Up,Diner,7032 Waverly Rue,CA,45.531795,-73.617672
Marconi,Restaurant,45 Mozart Ave O,CA,45.532967,-73.615967
Stade IGA,Stadium,285 Faillon Rue O,CA,45.533442,-73.625965
Milano Fruiterie,Fruit and Vegetable Store,6862 Saint-Laurent Blvd,CA,45.532826,-73.614557
Fromagerie Hamel,Cheese Store,220 Jean-Talon Rue E,CA,45.536261,-73.616075
Le Petit Alep,Bistro,191 Jean-Talon Rue E,CA,45.536482,-73.616373
Cafe Italia,Café,6840 Saint-Laurent Blvd,CA,45.532772,-73.614409
Jean-Talon Market,Farmers Market,7070 Henri Julien Ave,CA,45.536163,-73.61488
Ta pies et supérette,Bakery,4520 Ave du Parc,CA,45.516965,-73.590103
Hà,Vietnamese Restaurant,243 Ave Mont-Royal Ouest,CA,45.517788,-73.588773
Le Filet,French Restaurant,219 Ave du Mont-Royal Ouest,CA,45.517963,-73.588537
